pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number
FF,2017-09-24,92.3,-2.1396,6.615,Lucas Giolito,444876,608337,field_out,hit_into_play,,,,,3,Alcides Escobar flies out to center fielder Adam Engel.  ,R,R,R,CWS,KC,X,8,fly_ball,2,0,2017,-0.7596,1.5319,0.6466,2.9376,null,null,null,0,5,Top,98.05,73.57,,,607345,,170924_192420,,,,,,,3.227,1.3683,304,84.1,37.573,93.26,2130,6.738,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,53.7608,0.01,0.012,0,1,0,0,3,33,3
FT,2017-09-24,92.1,-2.024,6.7153,Lucas Giolito,444876,608337,null,ball,,,,,8,null,R,R,R,CWS,KC,B,null,null,1,0,2017,-1.2149,1.2071,-0.0688,1.8086,null,null,null,0,5,Top,null,null,,,607345,,170924_192353,,,,,,,3.5221,1.6862,null,null,null,92.553,2013,6.498,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,54.0003,0,0,null,null,null,null,null,33,2
CH,2017-09-24,80.2,-2.2814,6.6738,Lucas Giolito,444876,608337,null,ball,,,,,11,null,R,R,R,CWS,KC,B,null,null,0,0,2017,-1.2603,0.8548,-1.4597,4.2032,null,null,null,0,5,Top,null,null,,,607345,,170924_192337,,,,,,,3.4767,1.7544,null,null,null,80.974,1562,6.741,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,53.7576,0,0,null,null,null,null,null,33,1
FT,2017-09-24,92.4,-2.3134,6.6159,Lucas Giolito,519058,608337,force_out,hit_into_play,,,,,11,"Mike Moustakas grounds into a force out, third baseman Yolmer Sanchez to shortstop Tim Anderson.   Eric Hosmer out at 2nd.",R,L,R,CWS,KC,X,5,ground_ball,0,2,2017,-1.7842,0.9495,-1.6182,3.2617,null,null,543333,2,4,Top,106.25,165.14,,,607345,,170924_191425,,,,,,,3.2672,1.4186,36,68.8,-1.34,92.347,1936,6.174,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,54.3249,0.108,0.101,0,1,0,0,2,28,4
FF,2017-09-24,91.9,-2.3854,6.6388,Lucas Giolito,519058,608337,null,foul,,,,,11,null,R,L,R,CWS,KC,S,null,null,0,2,2017,-1.0599,1.3716,-0.953,3.0152,null,null,543333,2,4,Top,null,null,,,607345,,170924_191357,,,,,,,3.2672,1.4186,null,null,null,92.235,2143,6.327,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,54.1721,0,0,null,null,null,null,null,28,3
FF,2017-09-24,92.3,-2.3991,6.6303,Lucas Giolito,519058,608337,null,swinging_strike,,,,,11,null,R,L,R,CWS,KC,S,null,null,0,1,2017,-1.1604,1.6462,-0.7771,3.6752,null,null,543333,2,4,Top,null,null,,,607345,,170924_191334,,,,,,,3.2756,1.427,null,null,null,93.128,2108,6.796,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,53.7025,0,0,null,null,null,null,null,28,2
FT,2017-09-24,92.3,-2.253,6.6383,Lucas Giolito,519058,608337,null,foul,,,,,11,null,R,L,R,CWS,KC,S,null,null,0,0,2017,-1.4434,1.2673,-0.9823,2.6094,null,null,543333,2,4,Top,null,null,,,607345,,170924_191253,,,,,,,3.2672,1.4186,null,null,null,92.747,2025,6.418,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,54.0812,0,0,null,null,null,null,null,28,1
SL,2017-09-24,84.6,-2.2656,6.6955,Lucas Giolito,521692,608337,strikeout,swinging_strike,,,,,14,Salvador Perez strikes out swinging.  ,R,R,R,CWS,KC,S,null,null,0,2,2017,0.111,0.0828,0.8742,1.8793,null,null,543333,1,4,Top,null,null,,,607345,,170924_191220,,,,,,,3.4181,1.4186,null,null,null,84.113,1861,6.074,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,54.4245,0,0,0,1,0,0,null,27,3
FF,2017-09-24,91.6,-2.3014,6.6161,Lucas Giolito,521692,608337,null,foul,,,,,4,null,R,R,R,CWS,KC,S,null,null,0,1,2017,-1.1898,1.4839,-0.6589,2.2992,null,null,543333,1,4,Top,null,null,,,607345,,170924_191136,,,,,,,3.4181,1.4186,300,102.8,22.4376,91.749,2169,6.476,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,54.0223,0,0,null,null,null,null,6,27,2
FF,2017-09-24,92.7,-2.2305,6.692,Lucas Giolito,521692,608337,null,foul,,,,,12,null,R,R,R,CWS,KC,S,null,null,0,0,2017,-0.781,1.4616,0.3613,3.8039,null,null,543333,1,4,Top,null,null,,,607345,,170924_191105,,,,,,,3.4181,1.4186,203,76.8,29.0912,93.227,2116,6.506,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,53.9924,0,0,null,null,null,null,3,27,1
