"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"FF","2017-09-27","96.5","-2.4657","5.8251","Reynaldo Lopez",592743,625643,"strikeout","swinging_strike",,,,,"11","Andrelton Simmons strikes out swinging.  ","R","R","R","CWS","LAA","S","null","null",2,2,2017,"-1.1802","1.1371","-1.1686","4.0785","null","null","null",0,5,"Top","null","null",,,553882,,"170928_014826",,,,,,,"3.3883","1.4592","null","null","null","96.3440","2190","6.2720",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.2271","0.000","0.000","0.00",1,0,0,"null",34,"5"
"FF","2017-09-27","95.7","-2.4685","5.7638","Reynaldo Lopez",592743,625643,"null","called_strike",,,,,"4","null","R","R","R","CWS","LAA","S","null","null",2,1,2017,"-1.1965","1.2884","-0.8164","2.7227","null","null","null",0,5,"Top","null","null",,,553882,,"170928_014744",,,,,,,"3.6791","1.7033","null","null","null","95.2280","2146","6.1920",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.3068","0.000","0.000","null","null","null","null","null",34,"4"
"CH","2017-09-27","84.7","-2.4230","6.0874","Reynaldo Lopez",592743,625643,"null","ball",,,,,"14","null","R","R","R","CWS","LAA","B","null","null",1,1,2017,"-1.2678","0.7968","1.2288","2.0654","null","null","null",0,5,"Top","null","null",,,553882,,"170928_014727",,,,,,,"3.7727","1.7602","null","null","null","84.7600","1526","6.5830",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"53.9153","0.000","0.000","null","null","null","null","null",34,"3"
"FF","2017-09-27","95.1","-2.3673","5.8312","Reynaldo Lopez",592743,625643,"null","called_strike",,,,,"6","null","R","R","R","CWS","LAA","S","null","null",1,0,2017,"-1.0847","1.2597","0.6994","2.6554","null","null","null",0,5,"Top","null","null",,,553882,,"170928_014708",,,,,,,"3.8195","1.7033","null","null","null","94.8230","2049","6.3520",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.1470","0.000","0.000","null","null","null","null","null",34,"2"
"FF","2017-09-27","93.3","-2.4140","5.7763","Reynaldo Lopez",592743,625643,"null","ball",,,,,"14","null","R","R","R","CWS","LAA","B","null","null",0,0,2017,"-0.8070","1.3237","1.1864","2.2138","null","null","null",0,5,"Top","null","null",,,553882,,"170928_040346",,,,,,,"3.8195","1.7836","null","null","null","93.5510","1991","6.5280",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"53.9705","0.000","0.000","null","null","null","null","null",34,"1"
"FF","2017-09-27","96.4","-2.5197","5.7012","Reynaldo Lopez",408252,625643,"field_out","hit_into_play",,,,,"1","Brandon Phillips grounds out, shortstop Tim Anderson to first baseman Jose Abreu.  ","R","R","R","CWS","LAA","X","6","ground_ball",3,2,2017,"-1.2750","1.3374","-0.8147","3.0836","null","null","545361.00",2,4,"Top","113.61","150.19",,,553882,,"170928_011509",,,,,,,"3.1267","1.3384","8","66.5","-20.0530","96.5370","2186","6.5000",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"53.9989","0.044","0.042","0.00",1,0,0,2,25,"7"
"CH","2017-09-27","86.0","-2.5111","5.9988","Reynaldo Lopez",408252,625643,"null","ball",,,,,"11","null","R","R","R","CWS","LAA","B","null","null",2,2,2017,"-1.1303","1.4301","-0.1239","3.6699","null","null","545361.00",2,4,"Top","null","null",,,553882,,"170928_011431",,,,,,,"3.3741","1.5258","null","null","null","86.1050","1480","6.5290",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"53.9693","0.000","0.000","null","null","null","null","null",25,"6"
"FF","2017-09-27","98.3","-2.6139","5.5716","Reynaldo Lopez",408252,625643,"null","foul",,,,,"3","null","R","R","R","CWS","LAA","S","null","null",2,2,2017,"-0.9678","1.1513","0.4275","2.7502","null","null","545361.00",2,4,"Top","null","null",,,553882,,"170928_011355",,,,,,,"3.1267","1.3384","219","74.4","43.2385","98.6700","2128","6.5860",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"53.9122","0.000","0.000","null","null","null","null",3,25,"5"
"FF","2017-09-27","96.1","-2.4849","5.7527","Reynaldo Lopez",408252,625643,"null","swinging_strike",,,,,"14","null","R","R","R","CWS","LAA","S","null","null",2,1,2017,"-0.9785","1.1982","0.9870","1.9295","null","null","545361.00",2,4,"Top","null","null",,,553882,,"170928_011320",,,,,,,"3.1267","1.3384","null","null","null","96.6300","2137","6.6240",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"53.8751","0.000","0.000","null","null","null","null","null",25,"4"
"CH","2017-09-27","85.6","-2.5038","5.9630","Reynaldo Lopez",408252,625643,"null","blocked_ball",,,,,"14","null","R","R","R","CWS","LAA","B","null","null",1,1,2017,"-1.3326","0.6510","0.4591","0.4486","null","null","545361.00",2,4,"Top","null","null",,,553882,,"170928_011216",,,,,,,"3.4911","1.5258","null","null","null","84.9520","1491","6.0670",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.4316","0.000","0.000","null","null","null","null","null",25,"3"
"FF","2017-09-27","97.4","-2.5612","5.7041","Reynaldo Lopez",408252,625643,"null","ball",,,,,"12","null","R","R","R","CWS","LAA","B","null","null",0,1,2017,"-0.9772","1.1263","1.4863","3.0981","null","null","545361.00",2,4,"Top","null","null",,,553882,,"170928_011150",,,,,,,"3.4677","1.5726","null","null","null","97.0950","2168","6.3870",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.1120","0.000","0.000","null","null","null","null","null",25,"2"
